BEZEICHNUNG; EINHEIT;LIEFERANT;Anschrift; BESTAND; KALORIEN; KOHLENHYDRATE; PROTEIN; NETTOPREIS
Lauch;Stück;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;40;241;1; 18.1; 0.9
Melone;Beutel;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;20;741; 0.6; 0.7; 1.7
Möhren;Beutel;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;15;137; 1.5; 11.9; 1.12
Nüsse;Stück;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;4000;331; 1.2; 9.9; 0.10
Oliven;Stück;Obst-Hof Altes Land;Westerjork 74, 21635, Jork, T.:04162-4523;400;252;7;17; 1.8
Paprika;Beutel;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;300;351;67;12; 1.12
Pastinaken;Beutel;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;40;1; 0.5; 0.5; 0.11
Petersilienwurzeln ;Stück;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;20;150; 21.2;9; 1.9
Pfirsiche;Beutel;Obst-Hof Altes Land;Westerjork 74, 21635, Jork, T.:04162-4523;15;65; 4.7; 3.4; 1.12
Pflaume;Stück;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;4000;241;1; 18.1; 0.12
Pilze;Beutel;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;400;741; 0.6; 0.7; 1.10
Rhabarber;Beutel;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;300;137; 1.5; 11.9; 1.12
Rosenkohl;Stück;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;40;331; 1.2; 9.9; 0.13
Rotkohl;Stück;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;20;252;7;17; 1.11
Salat;Stück;Obst-Hof Altes Land;Westerjork 74, 21635, Jork, T.:04162-4523;15;351;67;12; 1.12
Schwarzwurzeln;Beutel;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;4000;1; 0.5; 0.5; 0.14
Sellerie;Beutel;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;400;150; 21.2;9; 1.12
Spargel;Stück;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;300;65; 4.7; 3.4; 1.12
Spinat;Beutel;Obst-Hof Altes Land;Westerjork 74, 21635, Jork, T.:04162-4523;40;241;1; 18.1; 0.15
Stängelgemüse;Stück;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;20;741; 0.6; 0.7; 1.12
Steckrüben;Beutel;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;15;137; 1.5; 11.9; 1.12
Tomate;Beutel;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;4000;331; 1.2; 9.9; 0.16
Topinambur;Stück;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;400;252;7;17; 1.12
Weintraube;Stück;Bio-Hof Müller;Dorfstraße 74, 24354 Weseby, Tel. 04354-9080;300;351;67;12; 1.12
Weißkohl;Stück;Obst-Hof Altes Land;Westerjork 74, 21635, Jork, T.:04162-4523;40;1; 0.5; 0.5; 0.17
Wirsing;Beutel;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;20;150; 21.2;9; 1.12
Zitrusfrüchte;Beutel;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;15;65; 4.7; 3.4; 1.12
Zucchini;Stück;Molkerei Henning;Molkereiwegkundekunde 13 ,19217 Dechow, 038873-8976;4000;241;1; 18.1; 0.18
Zwiebel;Beutel;Obst-Hof Altes Land;Westerjork 74, 21635, Jork, T.:04162-4523;400;741; 0.6; 0.7; 1.12
